******************************浮点输入的LSH测试*******************************

table_num key_size  scale   精度    查询用时ms    索引用时ms    索引内存MB    
50        25        50.00   0.088   45            541           15.30         
50        25        100.00  0.088   47            540           15.30         
50        25        200.00  0.085   53            576           15.28         
50        25        300.00  0.101   59            529           14.69         
50        28        10.00   0.053   34            630           15.84         
50        28        30.00   0.061   44            621           16.07         
50        28        50.00   0.097   57            565           15.45         
50        28        100.00  0.078   71            660           16.08         
50        28        200.00  0.095   60            658           15.79         
50        28        300.00  0.095   75            640           15.79         
50        30        10.00   0.053   27            636           16.14         
50        30        30.00   0.082   74            1059          16.30         
50        30        50.00   0.090   85            722           16.37         
50        30        100.00  0.079   57            702           16.46         
50        30        200.00  0.072   41            753           16.46         
50        30        300.00  0.080   44            638           16.07         
50        35        10.00   0.052   49            741           17.50         
50        35        30.00   0.079   74            795           17.36         
50        35        50.00   0.060   55            705           17.85         
50        35        100.00  0.066   38            705           17.68         
50        35        200.00  0.063   57            743           17.42         
50        35        300.00  0.109   77            846           17.31         
50        40        10.00   0.051   50            736           18.20         
50        40        30.00   0.074   38            719           18.73         
50        40        50.00   0.063   64            759           18.91         
50        40        100.00  0.053   44            771           18.85         
50        40        200.00  0.057   33            853           19.36         
50        40        300.00  0.055   30            748           18.82         
50        50        10.00   0.041   27            892           21.40         
50        50        30.00   0.041   26            750           21.20         
50        50        50.00   0.040   30            853           21.31         
50        50        100.00  0.039   21            740           21.27         
50        50        200.00  0.035   19            787           22.02         
50        50        300.00  0.054   33            758           21.01         
50        60        10.00   0.020   12            820           23.76         
50        60        30.00   0.022   15            800           23.69         
50        60        50.00   0.024   15            816           23.40         
50        60        100.00  0.022   13            819           23.79         
50        60        200.00  0.017   11            858           23.39         
50        60        300.00  0.026   16            886           23.49         
80        18        10.00   0.057   27            763           22.97         
80        18        30.00   0.130   145           752           23.30         
80        18        50.00   0.160   109           765           22.83         
80        18        100.00  0.137   72            743           23.51         
80        18        200.00  0.166   151           811           22.98         
80        18        300.00  0.170   102           733           22.92         
80        20        10.00   0.051   28            762           23.00         
80        20        30.00   0.144   79            756           23.23         
80        20        50.00   0.155   98            813           23.35         
80        20        100.00  0.124   68            770           23.41         
80        20        200.00  0.139   82            765           23.60         
80        20        300.00  0.148   94            828           23.51         
80        22        10.00   0.052   26            759           22.70         
80        22        30.00   0.128   78            772           23.47         
80        22        50.00   0.148   103           799           23.63         
80        22        100.00  0.151   90            815           23.70         
80        22        200.00  0.136   84            750           23.24         
80        22        300.00  0.143   89            785           23.83         
80        25        10.00   0.052   25            779           23.68         
80        25        30.00   0.131   73            789           23.95         
80        25        50.00   0.157   114           818           24.19         
80        25        100.00  0.148   82            805           23.64         
80        25        200.00  0.148   94            866           24.32         
80        25        300.00  0.156   106           793           24.00         
80        28        10.00   0.055   26            847           24.24         
80        28        30.00   0.122   66            851           25.10         
80        28        50.00   0.156   98            833           24.06         
80        28        100.00  0.165   103           831           24.43         
80        28        200.00  0.146   79            860           24.29         
80        28        300.00  0.138   87            994           24.76         
80        30        10.00   0.057   27            857           24.69         
80        30        30.00   0.122   70            863           24.85         
80        30        50.00   0.128   72            843           24.87         
80        30        100.00  0.130   72            841           24.75         
80        30        200.00  0.143   110           852           24.70         
